Ano,Valor
2004,103.19
2005,104.63
2006,99.74
2007,100.25
2008,105.23
2009,103.17
2010,101.9
2011,100.84
2012,98.64
2013,95.11
2014,94.64
2015,102.28
2016,103.08
2017,102.14
2018,101.14
2019,102.85
2020,104.7
2021,106.75
2022,104.85
